Hospital Name,State,City/Area,Address
Alpha Medical Centre,Borno,Maiduguri,"Circular Road, GRA, Maiduguri"
Potiskum Medical Centre,Borno,Potiskum,"Potiskum, Borno State"
Hirku Medical Centre,Borno,Biu,"Biu, Borno State"
Faith Foundation Specialist Clinic,Cross River,Calabar,"57 Ndidem Usang Iso Road, Calabar"
Bakor Medical Centre,Cross River,Calabar,"141 Ndidem Usong Iso Road, Calabar"
Hannah Foundation Clinic & Trauma Centre,Cross River,Calabar,"3 Akm Close State Housing Estate, Calabar"
Mount Zion Medical Centre,Cross River,Calabar,"5 Yellow Duke Close, Calabar"
Danex Hospital,Cross River,Ugep,"5 Ikom Highway, Ugep"
County Specialist Hospital,Cross River,Ikom,"No 77 Calabar Road, 4 Corners SQ, Ikom"
Icon Clinic & Maternity Home,Delta,Asaba,"303 Nnebisi Road, Asaba"
St. Joseph Catholic Hospital,Delta,Asaba,"142 Nnebisi Road, Asaba"
Capitol Hill Clinic & Hospital,Delta,Warri,"2 Omamofe Sillo Street, Off Etuwewe Street, Off Deco Road, Warri"
Group Christian Medical Centre,Delta,Warri,"Mosheshe Estate, Off Airport Road, Warri"
Humanity Clinic,Delta,Warri,"100 Enerhen Road, Warri"
Abelo Eye Clinic,Delta,Warri,"114 Warri/Sapele Road, Warri"
Lily Hospital,Delta,Warri,"2 Tombrifa Close, Off Deco Road, Warri"
Anioma Hospital,Delta,Agbor,"13 Memeh Street, Boji-Boji, Owa, Agbor"
Aluta Memorial Hospital,Delta,Oleh,"207 Ogbemudia Road, Oleh"
Ufor Hospital,Delta,Ughelli,"19 Uloho Avenue, Ughelli"
Mascap Hospital,Delta,Sapele,"34 Adeola Road, Sapele"
Sapele Clinic,Delta,Sapele,"181 New Ogorode Road, Sapele"
St. Mary Magdalene Hospital,Edo,Benin City,"8 Isibor Street, Off Murtala Mohammed Way, Benin City"
Aniso Specialist Medical Centre,Edo,Benin City,"11 2nd Federal Road, Uselu, Benin City"
Edi International Hospital Ltd,Edo,Benin City,"1 Aideyan Avenue GRA, Benin City"
Mount Gilead Hospital,Edo,Benin City,"1 Mount Gilead Hospital Close, Uselu, Benin City"
Narrow Way Clinic,Edo,Benin City,"9 Sunday Ahanor Street, Aduwawa Quarters, Ikpoba Okha, Benin City"
Eseohe Medical Centre,Edo,Ekpoma,"No. 2 Police Barrack Road, Off Benin-Auchi Expressway, Ekpoma"
